"NAICS","MIS_Status","DisbursementGross","Term","State","NAICS_Names"
"23","P I F",55000,60,"NY","Construction"
"23","CHGOFF",380000,2,"KS","Construction"
"23","P I F",50000,4,"PA","Construction"
"23","CHGOFF",620000,109,"CA","Construction"
"53","CHGOFF",14950,61,"CA","Real estate"
"23","CHGOFF",19000,65,"CA","Construction"
"71","P I F",29821,84,"NY","Recreation"
"23","CHGOFF",350000,50,"TX","Construction"
"23","CHGOFF",48554,63,"OH","Construction"
"23","P I F",10000,72,"CO","Construction"
"23","P I F",223363,115,"MD","Construction"
"11","P I F",719000,180,"MS","Agriculture"
"71","CHGOFF",150500,95,"CA","Recreation"
"71","CHGOFF",16675,47,"CA","Recreation"
"11","P I F",90000,48,"LA","Agriculture"
"23","P I F",127000,240,"WA","Construction"
"23","P I F",60000,84,"AR","Construction"
"23","P I F",131580,84,"WA","Construction"
"23","CHGOFF",525000,12,"FL","Construction"
"53","P I F",108633,84,"ME","Real estate"
"53","P I F",35000,60,"MI","Real estate"
"53","CHGOFF",99782,20,"IL","Real estate"
"23","CHGOFF",44000,67,"IA","Construction"
"71","P I F",173900,120,"CA","Recreation"
"53","CHGOFF",1331000,180,"TX","Real estate"
"71","P I F",36994,84,"OH","Recreation"
"23","P I F",25000,60,"ND","Construction"
"23","P I F",51389,84,"OH","Construction"
"11","P I F",28000,60,"MS","Agriculture"
"23","P I F",32292,36,"KY","Construction"
"71","P I F",1e+05,60,"NY","Recreation"
"71","CHGOFF",749500,110,"GA","Recreation"
"23","P I F",145000,300,"NJ","Construction"
"53","CHGOFF",30057,49,"FL","Real estate"
"23","P I F",410000,240,"NY","Construction"
"23","CHGOFF",250000,9,"PA","Construction"
"71","P I F",150000,246,"MS","Recreation"
"23","CHGOFF",376868,40,"UT","Construction"
"23","CHGOFF",10000,49,"MD","Construction"
"23","P I F",323494,303,"CA","Construction"
"23","CHGOFF",28355,23,"NV","Construction"
"23","P I F",50000,84,"NM","Construction"
"23","P I F",26784,84,"MN","Construction"
"23","P I F",101122,84,"AZ","Construction"
"53","CHGOFF",49600,72,"MI","Real estate"
"23","P I F",747944,84,"NY","Construction"
"53","P I F",520900,300,"TX","Real estate"
"71","CHGOFF",239330,74,"NJ","Recreation"
"23","P I F",25000,84,"NY","Construction"
"23","CHGOFF",20000,68,"HI","Construction"
"53","CHGOFF",23000,75,"OH","Real estate"
"23","P I F",30000,84,"NY","Construction"
"23","P I F",75000,60,"MO","Construction"
"11","P I F",3e+05,120,"GA","Agriculture"
"23","P I F",83000,240,"IN","Construction"
"23","CHGOFF",42113,59,"OH","Construction"
"23","P I F",150000,59,"WI","Construction"
"23","CHGOFF",1566500,98,"IA","Construction"
"23","CHGOFF",122345,42,"MA","Construction"
"11","P I F",20400,120,"RI","Agriculture"
"23","P I F",50914,84,"CT","Construction"
"23","P I F",360000,240,"MT","Construction"
"71","P I F",55000,60,"MI","Recreation"
"23","P I F",75000,60,"UT","Construction"
"23","CHGOFF",38500,67,"KY","Construction"
"23","CHGOFF",20000,62,"NY","Construction"
"23","P I F",152000,300,"IL","Construction"
"53","P I F",75000,84,"NJ","Real estate"
"11","P I F",72000,84,"MS","Agriculture"
"53","P I F",59036,84,"PA","Real estate"
"53","P I F",61488,83,"RI","Real estate"
"23","CHGOFF",53803,43,"MN","Construction"
"23","P I F",50000,65,"ME","Construction"
"23","P I F",1e+05,60,"NY","Construction"
"23","P I F",43065,5,"VA","Construction"
"23","CHGOFF",122500,39,"FL","Construction"
"11","CHGOFF",212312,1,"NY","Agriculture"
"23","P I F",168827,84,"CA","Construction"
"23","P I F",133736,18,"IN","Construction"
"23","CHGOFF",17000,66,"FL","Construction"
"23","P I F",213000,240,"CA","Construction"
"11","CHGOFF",520000,108,"TX","Agriculture"
"23","CHGOFF",38000,53,"RI","Construction"
"23","P I F",26739,84,"OR","Construction"
"23","P I F",76000,84,"IL","Construction"
"23","CHGOFF",25000,23,"AL","Construction"
"23","CHGOFF",181250,5,"CA","Construction"
"23","P I F",20174,60,"NY","Construction"
"23","P I F",60996,84,"WA","Construction"
"23","P I F",1e+05,84,"ND","Construction"
"23","CHGOFF",51152,73,"CO","Construction"
"23","P I F",183100,120,"CA","Construction"
"71","P I F",146200,240,"UT","Recreation"
"23","CHGOFF",20000,76,"NY","Construction"
"23","P I F",64155,84,"CA","Construction"
"23","P I F",10580,84,"WY","Construction"
"23","CHGOFF",9950,66,"CA","Construction"
"23","P I F",314000,300,"CA","Construction"
"53","CHGOFF",630000,54,"IN","Real estate"
"23","P I F",160000,300,"NY","Construction"
"23","P I F",87600,48,"UT","Construction"
"71","P I F",60000,84,"SD","Recreation"
"23","P I F",5000,57,"NV","Construction"
"23","P I F",197000,13,"WA","Construction"
"53","CHGOFF",50000,32,"NY","Real estate"
"71","P I F",40600,84,"LA","Recreation"
"23","CHGOFF",25000,90,"CA","Construction"
"23","P I F",60199,84,"WA","Construction"
"71","P I F",134000,264,"FL","Recreation"
"23","P I F",50000,84,"FL","Construction"
"23","P I F",17514,84,"RI","Construction"
"53","P I F",50000,60,"IL","Real estate"
"53","P I F",74005,60,"OH","Real estate"
"23","P I F",130274,84,"MI","Construction"
"23","P I F",50000,60,"IN","Construction"
"23","P I F",5000,84,"WA","Construction"
"53","P I F",299000,240,"MN","Real estate"
"11","P I F",644000,186,"LA","Agriculture"
"23","P I F",18800,96,"MA","Construction"
"23","P I F",815000,300,"NV","Construction"
"71","P I F",20000,60,"OK","Recreation"
"71","P I F",23782,84,"RI","Recreation"
"23","P I F",453000,36,"MI","Construction"
"23","P I F",250000,12,"CA","Construction"
"23","P I F",50000,84,"CO","Construction"
"23","P I F",235000,180,"LA","Construction"
"23","P I F",35000,78,"WI","Construction"
"23","P I F",350000,84,"PA","Construction"
"23","P I F",10000,84,"FL","Construction"
"23","CHGOFF",45000,20,"OH","Construction"
"23","P I F",11783,84,"NH","Construction"
"53","P I F",45000,60,"MN","Real estate"
"71","P I F",75300,12,"MS","Recreation"
"23","P I F",450000,180,"MA","Construction"
"53","CHGOFF",445300,52,"TX","Real estate"
"71","P I F",114032,84,"SD","Recreation"
"23","P I F",26000,60,"ME","Construction"
"23","P I F",28606,84,"IL","Construction"
"71","P I F",69945,84,"MO","Recreation"
"23","CHGOFF",25000,79,"NJ","Construction"
"23","P I F",359987,300,"CA","Construction"
"23","P I F",10000,60,"NY","Construction"
"23","P I F",1e+05,60,"NY","Construction"
"23","P I F",50000,72,"OH","Construction"
"23","P I F",85000,288,"GA","Construction"
"23","P I F",237000,240,"FL","Construction"
"23","CHGOFF",50000,38,"FL","Construction"
"71","P I F",50000,60,"NJ","Recreation"
"23","CHGOFF",35000,47,"CO","Construction"
"23","P I F",188000,240,"CA","Construction"
"23","P I F",131590,84,"ID","Construction"
"23","P I F",39775,84,"FL","Construction"
"23","P I F",1e+05,84,"NY","Construction"
"11","P I F",1002000,120,"MS","Agriculture"
"23","P I F",20000,48,"NE","Construction"
"71","P I F",372000,240,"TX","Recreation"
"71","CHGOFF",374199,19,"CO","Recreation"
"71","P I F",150000,120,"MO","Recreation"
"53","P I F",250000,84,"CA","Real estate"
"23","P I F",25000,84,"WY","Construction"
"23","CHGOFF",16523,52,"MO","Construction"
"23","P I F",72000,180,"MT","Construction"
"23","P I F",51395,84,"WA","Construction"
"53","CHGOFF",30000,28,"PA","Real estate"
"23","CHGOFF",50000,41,"NY","Construction"
"23","P I F",50000,84,"TX","Construction"
"53","P I F",45000,84,"FL","Real estate"
"23","P I F",279501,84,"OR","Construction"
"23","CHGOFF",53558,35,"ID","Construction"
"71","CHGOFF",45833,78,"CA","Recreation"
"23","P I F",163000,240,"UT","Construction"
"11","P I F",19400,60,"MI","Agriculture"
"11","CHGOFF",215000,71,"AL","Agriculture"
"71","CHGOFF",25000,30,"IL","Recreation"
"23","P I F",25251,46,"PA","Construction"
"23","CHGOFF",47482,38,"WY","Construction"
"23","CHGOFF",27000,52,"NY","Construction"
"23","P I F",906007,72,"HI","Construction"
"23","P I F",491000,300,"CA","Construction"
"23","P I F",47600,63,"TX","Construction"
"23","P I F",70000,120,"MN","Construction"
"23","CHGOFF",30000,41,"NY","Construction"
"23","CHGOFF",18262,36,"GA","Construction"
"23","P I F",54827,84,"MA","Construction"
"23","P I F",60000,84,"VA","Construction"
"23","CHGOFF",63050,54,"IL","Construction"
"23","CHGOFF",58258,48,"CA","Construction"
"53","P I F",20000,60,"PA","Real estate"
"23","CHGOFF",70253,42,"NY","Construction"
"23","P I F",51950,90,"NC","Construction"
"23","P I F",25742,83,"CT","Construction"
"53","P I F",150000,120,"PA","Real estate"
"11","P I F",718000,240,"CA","Agriculture"
"53","CHGOFF",15000,10,"NY","Real estate"
"23","P I F",70000,84,"TN","Construction"
"23","P I F",63076,84,"MI","Construction"
"23","P I F",157418,84,"MA","Construction"
"23","P I F",150000,84,"TX","Construction"
"23","CHGOFF",25000,61,"MI","Construction"
"23","CHGOFF",55000,52,"NY","Construction"
"23","P I F",54000,84,"OH","Construction"
"53","P I F",75000,84,"FL","Real estate"
"11","P I F",285000,264,"GA","Agriculture"
"23","P I F",64800,60,"NC","Construction"
"23","CHGOFF",50000,50,"NY","Construction"
"53","P I F",42200,84,"LA","Real estate"
"23","P I F",50000,60,"AZ","Construction"
"23","P I F",7000,36,"CT","Construction"
"23","P I F",105000,240,"OH","Construction"
"23","P I F",179000,180,"CA","Construction"
"11","P I F",13200,12,"MS","Agriculture"
"71","P I F",80000,121,"IA","Recreation"
"53","P I F",90000,60,"NY","Real estate"
"23","P I F",153000,300,"NJ","Construction"
"23","P I F",51875,84,"OH","Construction"
"23","CHGOFF",47000,156,"CT","Construction"
"23","P I F",225000,84,"CA","Construction"
"23","CHGOFF",175000,47,"OK","Construction"
"71","CHGOFF",52500,42,"CA","Recreation"
"11","P I F",908000,240,"WI","Agriculture"
"23","CHGOFF",9e+05,159,"WI","Construction"
"71","CHGOFF",9686,35,"NY","Recreation"
"23","P I F",70493,48,"NY","Construction"
"23","CHGOFF",163344,22,"CA","Construction"
"23","P I F",125000,84,"ID","Construction"
"71","P I F",40000,60,"IA","Recreation"
"23","P I F",148250,48,"NY","Construction"
"23","CHGOFF",55000,67,"CA","Construction"
"23","CHGOFF",5000,80,"MD","Construction"
"53","CHGOFF",19500,66,"FL","Real estate"
"11","P I F",5100,120,"MS","Agriculture"
"23","P I F",512000,240,"AZ","Construction"
"23","CHGOFF",49000,54,"UT","Construction"
"23","P I F",150000,84,"ND","Construction"
"23","CHGOFF",70000,24,"VT","Construction"
"23","P I F",220000,60,"CT","Construction"
"53","CHGOFF",124609,42,"NV","Real estate"
"23","P I F",460000,12,"MI","Construction"
"23","P I F",35000,60,"IL","Construction"
"71","P I F",84933,60,"CT","Recreation"
"23","P I F",173050,29,"RI","Construction"
"23","CHGOFF",46650,55,"CA","Construction"
"23","P I F",50000,84,"MN","Construction"
"53","CHGOFF",25000,48,"CA","Real estate"
"23","CHGOFF",10000,38,"NC","Construction"
"23","P I F",150000,84,"CA","Construction"
"23","CHGOFF",237191,8,"IN","Construction"
"23","CHGOFF",30000,54,"MD","Construction"
"23","P I F",84000,240,"UT","Construction"
"53","CHGOFF",175452,34,"NY","Real estate"
"23","P I F",192000,120,"MD","Construction"
"23","P I F",81000,48,"MA","Construction"
"23","CHGOFF",16586,49,"FL","Construction"
"11","P I F",50000,60,"NY","Agriculture"
"53","P I F",27502,84,"NV","Real estate"
"23","P I F",119000,87,"IL","Construction"
"71","P I F",1e+05,180,"TN","Recreation"
"23","P I F",90000,102,"MO","Construction"
"23","P I F",19000,48,"MN","Construction"
"53","CHGOFF",176613,42,"FL","Real estate"
"23","P I F",60786,84,"PA","Construction"
"23","P I F",8400,36,"FL","Construction"
"23","P I F",40000,84,"MD","Construction"
"23","P I F",333000,240,"CA","Construction"
"23","CHGOFF",101515,43,"IL","Construction"
"53","CHGOFF",138859,14,"OH","Real estate"
"11","P I F",30500,3,"PA","Agriculture"
"23","CHGOFF",50000,67,"IL","Construction"
"23","P I F",173000,120,"TX","Construction"
"23","P I F",119764,84,"OH","Construction"
"11","P I F",448000,180,"MS","Agriculture"
"53","CHGOFF",25035,21,"CA","Real estate"
"23","CHGOFF",1e+05,34,"FL","Construction"
"23","P I F",517000,240,"NV","Construction"
"23","CHGOFF",99993,57,"NY","Construction"
"23","CHGOFF",50000,59,"NY","Construction"
"11","P I F",8800,12,"AR","Agriculture"
"23","P I F",25000,36,"MO","Construction"
"11","CHGOFF",63883,131,"MS","Agriculture"
"71","P I F",76305,84,"IL","Recreation"
"53","CHGOFF",112000,111,"WA","Real estate"
"23","P I F",255000,120,"AK","Construction"
"23","CHGOFF",110000,68,"FL","Construction"
"23","P I F",127000,240,"NH","Construction"
"71","P I F",250000,240,"IL","Recreation"
"23","P I F",846000,240,"CO","Construction"
"23","CHGOFF",371058,21,"ID","Construction"
"23","P I F",1e+05,60,"NY","Construction"
"23","P I F",249487,120,"TX","Construction"
"23","P I F",70096,60,"PA","Construction"
"11","P I F",170000,12,"NM","Agriculture"
"23","CHGOFF",50000,33,"NY","Construction"
"11","P I F",11700,60,"OR","Agriculture"
"23","P I F",25000,90,"CA","Construction"
"11","P I F",1e+05,168,"RI","Agriculture"
"23","CHGOFF",77500,47,"NJ","Construction"
"23","CHGOFF",180098,17,"PA","Construction"
"23","P I F",396000,300,"WA","Construction"
"23","P I F",87783,84,"MA","Construction"
"23","CHGOFF",50910,21,"FL","Construction"
"23","CHGOFF",79284,38,"CA","Construction"
"23","P I F",43900,66,"MO","Construction"
"23","P I F",30000,13,"CT","Construction"
"23","CHGOFF",95774,31,"IL","Construction"
"23","P I F",186000,120,"IA","Construction"
"23","P I F",75000,24,"SC","Construction"
"23","CHGOFF",50000,24,"NY","Construction"
"23","P I F",76000,51,"NY","Construction"
"23","CHGOFF",105000,89,"WI","Construction"
"53","CHGOFF",20000,72,"GA","Real estate"
"23","P I F",37011,60,"MI","Construction"
"23","P I F",10000,84,"CA","Construction"
"11","P I F",30000,4,"CA","Agriculture"
"23","CHGOFF",140821,40,"FL","Construction"
"23","P I F",40000,84,"GA","Construction"
"53","CHGOFF",20000,49,"MO","Real estate"
"23","CHGOFF",100750,9,"AZ","Construction"
"11","P I F",12500,84,"AZ","Agriculture"
"23","CHGOFF",50000,63,"AR","Construction"
"53","P I F",854000,300,"AZ","Real estate"
"23","P I F",65000,60,"NY","Construction"
"23","P I F",665000,300,"CA","Construction"
"23","P I F",163434,84,"MN","Construction"
"23","P I F",19468,84,"CO","Construction"
"23","CHGOFF",76844,56,"AZ","Construction"
"53","CHGOFF",75000,61,"NJ","Real estate"
"23","P I F",25000,84,"WI","Construction"
"23","P I F",30000,84,"FL","Construction"
"23","P I F",50000,84,"HI","Construction"
"23","CHGOFF",39197,64,"OR","Construction"
"23","CHGOFF",109533,62,"AZ","Construction"
"23","CHGOFF",100736,59,"CA","Construction"
"53","P I F",19728,60,"MI","Real estate"
"23","CHGOFF",374464,38,"NJ","Construction"
"23","P I F",282000,240,"NV","Construction"
"23","CHGOFF",286000,208,"WI","Construction"
"23","CHGOFF",123300,48,"KS","Construction"
"23","P I F",216000,300,"CA","Construction"
"23","P I F",104550,84,"MI","Construction"
"23","CHGOFF",30400,20,"TN","Construction"
"23","P I F",108958,84,"NY","Construction"
"23","P I F",245000,300,"AZ","Construction"
"23","P I F",53000,240,"FL","Construction"
"23","P I F",243021,24,"VT","Construction"
"23","P I F",70000,84,"NY","Construction"
"53","P I F",94419,84,"MI","Real estate"
"71","CHGOFF",5000,52,"CA","Recreation"
"53","CHGOFF",104257,57,"FL","Real estate"
"23","P I F",50000,84,"KS","Construction"
"23","P I F",150000,90,"CA","Construction"
"23","CHGOFF",10000,59,"CA","Construction"
"23","P I F",112244,115,"IN","Construction"
"23","P I F",205000,84,"VA","Construction"
"23","P I F",75892,84,"OR","Construction"
"53","P I F",109453,84,"NY","Real estate"
"71","P I F",76400,60,"NE","Recreation"
"53","CHGOFF",48000,59,"FL","Real estate"
"23","P I F",110000,120,"MO","Construction"
"23","P I F",76014,84,"TX","Construction"
"53","CHGOFF",5000,94,"MI","Real estate"
"53","CHGOFF",124919,46,"NY","Real estate"
"23","P I F",70000,13,"MN","Construction"
"23","P I F",22500,60,"MA","Construction"
"23","CHGOFF",42549,16,"MI","Construction"
"23","P I F",43099,118,"MA","Construction"
"23","CHGOFF",50824,46,"FL","Construction"
"23","P I F",80000,185,"FL","Construction"
"23","CHGOFF",83358,32,"IL","Construction"
"23","P I F",150000,84,"PA","Construction"
"53","P I F",55000,84,"PA","Real estate"
"23","P I F",2106713,60,"MO","Construction"
"23","CHGOFF",35433,40,"ID","Construction"
"71","P I F",2e+05,84,"CA","Recreation"
"23","P I F",50000,60,"NY","Construction"
"23","CHGOFF",95480,46,"AZ","Construction"
"71","P I F",1905000,240,"NH","Recreation"
"23","P I F",10000,84,"FL","Construction"
"71","CHGOFF",251059,30,"GA","Recreation"
"23","P I F",94920,84,"TX","Construction"
"53","P I F",50000,84,"TX","Real estate"
"23","CHGOFF",20000,41,"MD","Construction"
"23","P I F",15000,84,"OK","Construction"
"71","P I F",136000,84,"CA","Recreation"
"23","CHGOFF",83792,59,"CA","Construction"
"71","CHGOFF",5000,79,"TN","Recreation"
"71","CHGOFF",10000,55,"IL","Recreation"
"23","P I F",41578,71,"IN","Construction"
"23","P I F",35000,84,"TX","Construction"
"23","CHGOFF",15000,40,"CA","Construction"
"23","P I F",14400,84,"CT","Construction"
"23","P I F",153037,48,"NJ","Construction"
"71","P I F",1500000,240,"MA","Recreation"
"23","P I F",150000,6,"NY","Construction"
"23","P I F",1509000,240,"CO","Construction"
"23","P I F",30100,84,"CT","Construction"
"23","P I F",7000,60,"OH","Construction"
"23","CHGOFF",112246,48,"RI","Construction"
"23","CHGOFF",35000,74,"CA","Construction"
"71","P I F",29500,24,"PA","Recreation"
"23","P I F",31000,60,"IA","Construction"
"23","P I F",29957,84,"UT","Construction"
"23","P I F",148710,84,"UT","Construction"
"71","P I F",350000,180,"NM","Recreation"
"53","P I F",5000,84,"IL","Real estate"
"71","P I F",125000,85,"PA","Recreation"
"23","CHGOFF",95914,48,"FL","Construction"
"11","P I F",122000,120,"MS","Agriculture"
"23","CHGOFF",42600,11,"OH","Construction"
"23","CHGOFF",190063,15,"TX","Construction"
"11","P I F",2e+05,120,"KY","Agriculture"
"53","P I F",166500,240,"ME","Real estate"
