"NAICS","MIS_Status","DisbursementGross","Term","State","NAICS_Names"
"23","P I F",33000,64,"SD","Construction"
"23","CHGOFF",25000,37,"TX","Construction"
"23","P I F",21000,84,"TN","Construction"
"23","P I F",519000,87,"IN","Construction"
"23","P I F",2e+06,120,"WI","Construction"
"53","CHGOFF",52488,54,"RI","Real estate"
"23","P I F",38141,84,"CO","Construction"
"23","CHGOFF",207302,53,"UT","Construction"
"23","P I F",26000,84,"NJ","Construction"
"23","P I F",190581,84,"TX","Construction"
"23","CHGOFF",297725,6,"CT","Construction"
"23","CHGOFF",27550,23,"CA","Construction"
"71","P I F",35000,84,"ME","Recreation"
"23","P I F",1e+05,84,"UT","Construction"
"11","P I F",905000,180,"GA","Agriculture"
"23","P I F",3e+05,84,"VA","Construction"
"23","P I F",1e+05,13,"HI","Construction"
"53","CHGOFF",25000,69,"CA","Real estate"
"11","P I F",66500,60,"ID","Agriculture"
"23","P I F",106000,240,"UT","Construction"
"23","P I F",1e+05,12,"IA","Construction"
"23","P I F",8000,84,"FL","Construction"
"53","P I F",2e+05,84,"CA","Real estate"
"53","P I F",18000,84,"FL","Real estate"
"23","CHGOFF",15000,107,"NC","Construction"
"53","P I F",40000,84,"CA","Real estate"
"23","CHGOFF",255500,77,"ID","Construction"
"53","P I F",252000,120,"CA","Real estate"
"11","CHGOFF",35000,31,"LA","Agriculture"
"53","P I F",25000,84,"PA","Real estate"
"23","P I F",15000,199,"IL","Construction"
"23","CHGOFF",15000,54,"OH","Construction"
"71","P I F",52737,84,"MN","Recreation"
"71","P I F",45000,48,"KS","Recreation"
"23","P I F",55000,21,"NH","Construction"
"23","CHGOFF",10000,38,"FL","Construction"
"23","CHGOFF",25000,36,"NY","Construction"
"23","P I F",344000,120,"GA","Construction"
"53","CHGOFF",250000,46,"OR","Real estate"
"23","P I F",66000,60,"WI","Construction"
"53","CHGOFF",15000,38,"FL","Real estate"
"23","CHGOFF",385483,18,"MI","Construction"
"23","CHGOFF",55801,41,"MA","Construction"
"71","P I F",3e+05,120,"NE","Recreation"
"11","CHGOFF",15000,68,"WY","Agriculture"
"71","P I F",147600,120,"MT","Recreation"
"23","P I F",309949,60,"PA","Construction"
"23","P I F",20000,48,"NY","Construction"
"53","CHGOFF",75000,38,"FL","Real estate"
"23","CHGOFF",160800,27,"WI","Construction"
"53","P I F",25000,84,"CA","Real estate"
"11","P I F",175000,180,"AR","Agriculture"
"23","P I F",104298,12,"CA","Construction"
"23","P I F",25000,83,"CO","Construction"
"71","P I F",10000,84,"GA","Recreation"
"23","P I F",88800,84,"TN","Construction"
"71","P I F",34842,60,"WV","Recreation"
"53","P I F",157500,300,"NY","Real estate"
"23","P I F",22370,48,"NJ","Construction"
"11","P I F",460000,180,"TX","Agriculture"
"23","P I F",161708,60,"OH","Construction"
"23","CHGOFF",39462,31,"OH","Construction"
"23","P I F",108831,84,"OR","Construction"
"23","P I F",35000,3,"FL","Construction"
"71","CHGOFF",461900,112,"FL","Recreation"
"23","P I F",55000,84,"SC","Construction"
"23","CHGOFF",75000,59,"KY","Construction"
"53","CHGOFF",27936,50,"UT","Real estate"
"53","P I F",51800,60,"TX","Real estate"
"23","P I F",125000,84,"KS","Construction"
"23","CHGOFF",31697,62,"NY","Construction"
"23","CHGOFF",5000,51,"NY","Construction"
"53","P I F",20000,48,"FL","Real estate"
"11","P I F",2e+05,84,"TX","Agriculture"
"23","CHGOFF",51000,71,"CT","Construction"
"23","P I F",46427,84,"VA","Construction"
"23","P I F",10000,84,"GA","Construction"
"23","P I F",494581,46,"KY","Construction"
"23","P I F",9450,84,"NY","Construction"
"23","CHGOFF",100551,29,"PA","Construction"
"11","P I F",120000,180,"MS","Agriculture"
"23","P I F",150000,84,"MN","Construction"
"23","P I F",101034,84,"TX","Construction"
"23","P I F",187913,84,"IL","Construction"
"23","P I F",18000,18,"OR","Construction"
"23","P I F",45000,84,"FL","Construction"
"23","CHGOFF",75377,27,"CA","Construction"
"23","P I F",37500,36,"WV","Construction"
"23","P I F",75000,24,"MA","Construction"
"23","CHGOFF",61875,33,"IN","Construction"
"71","P I F",677000,120,"GA","Recreation"
"11","P I F",62800,84,"PA","Agriculture"
"71","P I F",18083,84,"PA","Recreation"
"23","P I F",150000,240,"CA","Construction"
"23","P I F",10000,84,"TN","Construction"
"53","P I F",204082,84,"FL","Real estate"
"23","P I F",78409,84,"CA","Construction"
"23","P I F",60000,66,"MD","Construction"
"23","P I F",50000,60,"NY","Construction"
"71","CHGOFF",10000,12,"VA","Recreation"
"53","P I F",25000,84,"OK","Real estate"
"53","P I F",140000,60,"MO","Real estate"
"23","P I F",5000,84,"TX","Construction"
"23","CHGOFF",76000,5,"NC","Construction"
"53","P I F",142832,84,"WA","Real estate"
"23","P I F",20000,84,"ID","Construction"
"23","P I F",261500,300,"GA","Construction"
"23","CHGOFF",242200,263,"VA","Construction"
"23","CHGOFF",43781,45,"FL","Construction"
"23","CHGOFF",23209,27,"MA","Construction"
"23","CHGOFF",182254,57,"MO","Construction"
"23","P I F",5000,36,"MI","Construction"
"53","CHGOFF",93624,53,"NJ","Real estate"
"71","P I F",5000,84,"UT","Recreation"
"53","CHGOFF",19260,64,"CA","Real estate"
"23","CHGOFF",29954,37,"PA","Construction"
"23","CHGOFF",72500,30,"CA","Construction"
"23","P I F",393592,24,"NV","Construction"
"23","P I F",560000,180,"MA","Construction"
"23","P I F",70000,84,"WV","Construction"
"23","P I F",278000,240,"CA","Construction"
"23","P I F",61940,84,"OH","Construction"
"71","P I F",51000,36,"CA","Recreation"
"23","P I F",70000,60,"IN","Construction"
"23","P I F",135000,84,"MN","Construction"
"71","P I F",265000,84,"MO","Recreation"
"53","P I F",35000,90,"TX","Real estate"
"23","CHGOFF",10000,53,"GA","Construction"
"71","P I F",1e+05,60,"NY","Recreation"
"23","P I F",31559,84,"MN","Construction"
"53","CHGOFF",34307,56,"CA","Real estate"
"23","P I F",43000,84,"IA","Construction"
"53","P I F",435000,4,"AZ","Real estate"
"23","P I F",60255,84,"NY","Construction"
"71","P I F",330000,120,"MA","Recreation"
"71","P I F",130000,96,"CT","Recreation"
"23","CHGOFF",6e+05,92,"IL","Construction"
"23","P I F",30000,60,"OH","Construction"
"23","CHGOFF",65540,60,"NY","Construction"
"23","P I F",572000,240,"NH","Construction"
"23","P I F",111943,60,"PA","Construction"
"71","CHGOFF",75000,40,"WI","Recreation"
"23","CHGOFF",628000,274,"CA","Construction"
"23","CHGOFF",25695,48,"IL","Construction"
"23","P I F",525000,180,"GA","Construction"
"23","CHGOFF",159000,59,"FL","Construction"
"23","P I F",412000,240,"CA","Construction"
"23","CHGOFF",72000,43,"FL","Construction"
"23","CHGOFF",52905,22,"CA","Construction"
"11","P I F",382500,180,"MS","Agriculture"
"53","CHGOFF",20000,29,"WI","Real estate"
"23","P I F",379000,240,"OH","Construction"
"23","CHGOFF",530000,258,"CA","Construction"
"53","CHGOFF",42293,73,"FL","Real estate"
"53","P I F",13000,84,"WA","Real estate"
"23","CHGOFF",250000,60,"MN","Construction"
"23","P I F",52949,84,"OR","Construction"
"23","P I F",22580,84,"NE","Construction"
"23","P I F",143000,240,"CA","Construction"
"71","P I F",48399,84,"WI","Recreation"
"53","CHGOFF",25000,14,"IL","Real estate"
"23","CHGOFF",97763,38,"NH","Construction"
"23","P I F",25000,84,"MN","Construction"
"23","P I F",35000,78,"TN","Construction"
"23","P I F",75000,84,"NY","Construction"
"23","P I F",1e+05,120,"UT","Construction"
"23","CHGOFF",240000,46,"WA","Construction"
"23","P I F",56680,24,"WY","Construction"
"53","P I F",12973,84,"CA","Real estate"
"23","CHGOFF",14944,36,"NM","Construction"
"23","P I F",150000,84,"ND","Construction"
"11","P I F",1e+05,84,"KS","Agriculture"
"23","P I F",25000,84,"NY","Construction"
"23","P I F",511600,119,"UT","Construction"
"53","CHGOFF",24516,58,"IN","Real estate"
"53","CHGOFF",25000,78,"IL","Real estate"
"23","CHGOFF",234267,49,"CO","Construction"
"23","P I F",20000,84,"CT","Construction"
"23","P I F",10000,84,"IL","Construction"
"23","P I F",491000,240,"CA","Construction"
"23","P I F",5000,84,"OH","Construction"
"23","P I F",35000,60,"MA","Construction"
"23","P I F",64338,84,"RI","Construction"
"23","P I F",31661,60,"FL","Construction"
"23","P I F",30500,84,"VA","Construction"
"23","P I F",7e+05,84,"IL","Construction"
"23","CHGOFF",18000,61,"FL","Construction"
"71","CHGOFF",43500,66,"FL","Recreation"
"23","P I F",279000,240,"CA","Construction"
"23","P I F",37136,84,"NE","Construction"
"11","P I F",32000,84,"MS","Agriculture"
"23","P I F",120000,180,"WV","Construction"
"23","CHGOFF",18000,27,"MI","Construction"
"53","P I F",534200,288,"CA","Real estate"
"71","P I F",689000,120,"WA","Recreation"
"23","P I F",217000,240,"GA","Construction"
"23","P I F",15000,84,"MD","Construction"
"53","CHGOFF",35000,68,"NC","Real estate"
"23","P I F",25000,84,"FL","Construction"
"23","P I F",35801,60,"PA","Construction"
"23","P I F",50000,47,"WI","Construction"
"23","P I F",58500,48,"MA","Construction"
"23","P I F",179000,240,"CO","Construction"
"23","CHGOFF",17383,60,"CO","Construction"
"23","P I F",427500,300,"CA","Construction"
"23","P I F",56438,84,"UT","Construction"
"23","P I F",1e+05,90,"GA","Construction"
"23","P I F",22500,84,"UT","Construction"
"53","P I F",245000,240,"CA","Real estate"
"71","P I F",98000,83,"VT","Recreation"
"23","CHGOFF",50000,54,"TX","Construction"
"23","CHGOFF",31500,58,"MD","Construction"
"23","P I F",49325,72,"OH","Construction"
"23","P I F",61052,13,"MT","Construction"
"23","CHGOFF",438800,134,"TX","Construction"
"23","P I F",171494,84,"OR","Construction"
"71","P I F",60000,84,"NY","Recreation"
"23","P I F",60000,60,"MI","Construction"
"23","P I F",60000,60,"IL","Construction"
"23","P I F",20600,72,"ID","Construction"
"53","P I F",2e+06,84,"TN","Real estate"
"23","P I F",75000,60,"NY","Construction"
"23","P I F",20000,84,"FL","Construction"
"23","P I F",25000,48,"OH","Construction"
"23","P I F",75000,60,"NY","Construction"
"23","CHGOFF",15800,16,"CT","Construction"
"23","CHGOFF",198814,2,"MN","Construction"
"53","CHGOFF",40876,54,"CA","Real estate"
"23","CHGOFF",88200,43,"ID","Construction"
"53","P I F",7500,120,"CA","Real estate"
"71","CHGOFF",220000,212,"MO","Recreation"
"23","CHGOFF",23661,40,"FL","Construction"
"23","P I F",170000,60,"DE","Construction"
"23","P I F",25000,84,"PA","Construction"
"23","P I F",6e+05,84,"IA","Construction"
"53","P I F",40000,84,"NH","Real estate"
"23","P I F",50000,43,"WI","Construction"
"71","P I F",102000,60,"OH","Recreation"
"71","P I F",20000,60,"PA","Recreation"
"23","CHGOFF",163632,43,"CO","Construction"
"23","P I F",220000,12,"MN","Construction"
"23","P I F",148553,84,"KS","Construction"
"23","P I F",60000,84,"AZ","Construction"
"71","CHGOFF",85000,99,"CA","Recreation"
"23","P I F",59983,84,"CO","Construction"
"71","CHGOFF",131609,55,"MI","Recreation"
"71","P I F",520000,72,"NC","Recreation"
"11","P I F",178000,240,"TX","Agriculture"
"23","CHGOFF",69100,19,"MS","Construction"
"23","CHGOFF",5000,56,"CA","Construction"
"23","P I F",81396,84,"ID","Construction"
"53","CHGOFF",5000,100,"OH","Real estate"
"23","P I F",87500,84,"MT","Construction"
"23","CHGOFF",10000,68,"NJ","Construction"
"23","CHGOFF",129300,58,"AZ","Construction"
"71","P I F",1e+05,120,"CA","Recreation"
"53","P I F",910000,240,"MI","Real estate"
"23","CHGOFF",135761,54,"MN","Construction"
"53","P I F",11000,84,"NY","Real estate"
"23","CHGOFF",24736,43,"WA","Construction"
"23","CHGOFF",10000,91,"FL","Construction"
"53","P I F",12500,63,"KY","Real estate"
"71","CHGOFF",10000,71,"WA","Recreation"
"23","P I F",50000,24,"MD","Construction"
"53","P I F",20000,84,"ME","Real estate"
"23","P I F",27164,60,"OK","Construction"
"23","CHGOFF",48955,42,"PA","Construction"
"11","P I F",35000,72,"MS","Agriculture"
"23","P I F",368177,84,"NY","Construction"
"23","CHGOFF",25000,91,"AR","Construction"
"23","CHGOFF",425000,79,"MD","Construction"
"23","CHGOFF",34627,39,"MD","Construction"
"23","P I F",118000,240,"NM","Construction"
"71","P I F",150000,83,"TX","Recreation"
"23","P I F",14341,84,"FL","Construction"
"23","P I F",112404,84,"WV","Construction"
"23","CHGOFF",75000,44,"OH","Construction"
"23","CHGOFF",50000,28,"GA","Construction"
"23","P I F",8000,24,"MI","Construction"
"23","CHGOFF",90000,64,"NJ","Construction"
"53","P I F",15611,67,"CT","Real estate"
"71","P I F",164698,84,"UT","Recreation"
"23","P I F",1e+05,12,"KS","Construction"
"23","P I F",20000,48,"OR","Construction"
"53","P I F",135000,84,"CA","Real estate"
"71","P I F",180000,120,"CO","Recreation"
"23","P I F",61652,70,"NH","Construction"
"23","CHGOFF",10000,87,"TX","Construction"
"53","P I F",16744,84,"VA","Real estate"
"23","P I F",25000,60,"NH","Construction"
"23","CHGOFF",49926,39,"UT","Construction"
"53","CHGOFF",42000,49,"WI","Real estate"
"23","P I F",331700,300,"NY","Construction"
"23","P I F",20809,84,"WI","Construction"
"23","CHGOFF",1e+05,29,"MD","Construction"
"71","P I F",257000,240,"ID","Recreation"
"23","P I F",118000,180,"GA","Construction"
"53","CHGOFF",15000,47,"MA","Real estate"
"23","P I F",59014,84,"MO","Construction"
"53","CHGOFF",35000,73,"OH","Real estate"
"23","CHGOFF",27922,52,"OH","Construction"
"23","P I F",40000,60,"IL","Construction"
"23","P I F",110628,36,"OK","Construction"
"23","P I F",418500,300,"CA","Construction"
"71","CHGOFF",104224,68,"CA","Recreation"
"53","P I F",40416,84,"MN","Real estate"
"23","CHGOFF",10000,73,"SC","Construction"
"23","P I F",16948,84,"TX","Construction"
"71","CHGOFF",150000,80,"TN","Recreation"
"23","P I F",40000,43,"TX","Construction"
"71","P I F",35000,18,"IN","Recreation"
"23","P I F",124000,120,"KY","Construction"
"71","P I F",275000,192,"VA","Recreation"
"23","P I F",15000,84,"LA","Construction"
"23","CHGOFF",51021,58,"CO","Construction"
"71","CHGOFF",12500,100,"IN","Recreation"
"23","P I F",992000,120,"TX","Construction"
"23","CHGOFF",56500,12,"OH","Construction"
"23","CHGOFF",20010,47,"FL","Construction"
"23","P I F",225000,300,"CO","Construction"
"23","P I F",380000,120,"SC","Construction"
"71","P I F",250000,84,"FL","Recreation"
"23","P I F",75000,12,"NY","Construction"
"23","P I F",304000,84,"CA","Construction"
"23","P I F",32663,84,"NJ","Construction"
"23","P I F",130000,60,"CA","Construction"
"23","P I F",172323,84,"AZ","Construction"
"23","P I F",12500,120,"NC","Construction"
"23","P I F",16000,60,"VT","Construction"
"53","P I F",1e+05,84,"MO","Real estate"
"71","CHGOFF",150000,36,"VA","Recreation"
"53","P I F",414000,240,"CA","Real estate"
"11","P I F",95000,115,"ND","Agriculture"
"23","P I F",15000,48,"NJ","Construction"
"23","P I F",738480,120,"CA","Construction"
"23","P I F",73000,240,"CA","Construction"
"23","CHGOFF",124780,33,"OR","Construction"
"71","CHGOFF",25000,71,"MS","Recreation"
"53","P I F",16300,84,"VA","Real estate"
"23","CHGOFF",76233,34,"OH","Construction"
"23","CHGOFF",15000,15,"CA","Construction"
"53","P I F",25000,84,"TX","Real estate"
"23","CHGOFF",350000,69,"SC","Construction"
"23","P I F",550000,264,"NY","Construction"
"23","P I F",50000,90,"NY","Construction"
"23","P I F",20834,36,"ME","Construction"
"23","P I F",35000,78,"IA","Construction"
"23","P I F",150000,48,"MA","Construction"
"71","P I F",20000,30,"TX","Recreation"
"11","CHGOFF",155000,120,"AL","Agriculture"
"23","P I F",20500,48,"NC","Construction"
"23","CHGOFF",13963,33,"CO","Construction"
"11","P I F",950000,300,"OK","Agriculture"
"11","CHGOFF",482241,62,"AR","Agriculture"
"53","P I F",129000,182,"WV","Real estate"
"71","CHGOFF",57662,28,"CA","Recreation"
"23","P I F",29800,73,"WV","Construction"
"23","P I F",104000,60,"UT","Construction"
"23","CHGOFF",140850,56,"NJ","Construction"
"23","P I F",45900,85,"IN","Construction"
"53","CHGOFF",75000,53,"MI","Real estate"
"23","P I F",5000,84,"MA","Construction"
"23","CHGOFF",101200,32,"MI","Construction"
"23","P I F",96000,72,"TX","Construction"
"23","P I F",93896,84,"CO","Construction"
"23","P I F",30777,23,"WA","Construction"
"71","P I F",28000,60,"MN","Recreation"
"23","P I F",130000,240,"NY","Construction"
"23","CHGOFF",150000,41,"UT","Construction"
"23","P I F",150000,84,"MD","Construction"
"23","CHGOFF",110000,32,"DE","Construction"
"23","P I F",1e+05,84,"MN","Construction"
"23","CHGOFF",24259,40,"MD","Construction"
"23","P I F",88100,84,"CA","Construction"
"23","P I F",75000,84,"MI","Construction"
"11","P I F",33700,60,"MS","Agriculture"
"23","P I F",80883,96,"PA","Construction"
"23","P I F",29709,84,"MO","Construction"
"23","P I F",70353,84,"WA","Construction"
"23","CHGOFF",86048,36,"OK","Construction"
"23","P I F",34500,84,"FL","Construction"
"53","P I F",25000,84,"CA","Real estate"
"23","CHGOFF",30000,58,"OH","Construction"
"71","CHGOFF",6e+05,113,"FL","Recreation"
"23","P I F",45000,60,"NH","Construction"
"23","P I F",46028,84,"CA","Construction"
"23","P I F",24100,84,"MI","Construction"
"23","CHGOFF",35127,41,"TX","Construction"
"11","P I F",306000,240,"NE","Agriculture"
"23","P I F",198394,84,"OH","Construction"
"23","P I F",50000,60,"NY","Construction"
"23","CHGOFF",25000,61,"AZ","Construction"
"23","P I F",176000,84,"AZ","Construction"
"71","P I F",33099,84,"CA","Recreation"
"53","P I F",29000,84,"AZ","Real estate"
"71","CHGOFF",35000,66,"NY","Recreation"
"53","P I F",25000,84,"TX","Real estate"
"23","P I F",29889,84,"NY","Construction"
"11","P I F",46000,84,"VT","Agriculture"
"23","P I F",157000,240,"NV","Construction"
"23","CHGOFF",150000,27,"WA","Construction"
"53","CHGOFF",10000,95,"IL","Real estate"
"23","P I F",45498,84,"IL","Construction"
"23","CHGOFF",135461,35,"AL","Construction"
"23","CHGOFF",75000,42,"TX","Construction"
"23","CHGOFF",42000,71,"AZ","Construction"
"23","P I F",265000,20,"CA","Construction"
"23","CHGOFF",60000,57,"NC","Construction"
"23","P I F",50000,84,"MT","Construction"
"23","P I F",1e+05,84,"GA","Construction"
"53","P I F",6129,84,"NH","Real estate"
"23","P I F",50000,36,"PA","Construction"
"53","P I F",172621,84,"ID","Real estate"
"11","P I F",35000,78,"MS","Agriculture"
"23","P I F",45000,84,"MO","Construction"
